Map,Day,Month,Year,Wait Time(s), Match Time(s),Team A Rounds,Team B Rounds,Ping,Kills,Assists,Deaths,Mvp's,HS%,Points,Result
Inferno,16,02,2019,52,646,0,8,67,7,2,2,1,42,18,Win
Dust II,15,02,2019,39,3092,15,15,66,20,5,21,0,25,47,Tie
Cache,15,02,2019,112,2115,16,7,99,21,10,21,5,38,55,Win
Overpass,14,02,2019,29,2292,16,9,94,23,3,18,1,45,52,Win
Dust II,14,02,2019,48,1872,3,16,110,21,4,7,5,47,53,Win
Mirage,13,02,2019,104,2925,12,16,117,24,10,21,4,37,68,Lost
Train,11,02,2019,75,2482,16,8,95,18,2,21,2,38,43,Lost
Mirage,11,02,2019,19,2340,12,16,73,32,1,16,6,18,69,Win
Overpass,10,02,2019,78,2835,13,16,70,21,4,20,1,33,50,Lost
Dust II,09,02,2019,149,2287,8,16,0,8,3,16,3,36,21,Lost
Cache,09,02,2019,32,255,0,4,144,0,1,3,0,0,1,Lost
Dust II,09,02,2019,120,1901,16,5,0,12,2,10,1,30,27,Win
Overpass,09,02,2019,177,2129,16,8,98,30,3,14,6,30,74,Win
Dust II,08,02,2019,180,2157,8,16,112,10,5,17,1,30,33,Win
Cache,07,02,2019,175,2235,16,7,123,15,1,20,2,60,31,Lost
Overpass,06,02,2019,55,2958,16,13,65,17,5,22,3,29,48,Lost
Inferno,04,02,2019,163,2505,11,16,87,11,2,21,3,54,34,Win
Mirage,03,02,2019,60,3124,12,16,73,31,2,22,3,19,68,Lost
Inferno,03,02,2019,116,2271,16,7,109,22,3,14,5,31,54,Win
Cache,02,02,2019,209,1899,3,16,98,8,4,15,1,37,20,Lost
Dust II,01,02,2019,26,1716,6,16,101,20,2,19,1,30,46,Lost
Dust II,01,02,2019,37,1552,2,16,121,14,5,17,1,28,35,Lost
Train,01,02,2019,15,1994,16,8,70,14,7,20,2,35,36,Lost
Dust II,31,01,2019,127,2899,16,12,105,22,2,20,4,13,58,Lost
Mirage,31,01,2019,102,1946,16,7,97,14,2,18,1,28,32,Lost
Overpass,30,01,2019,68,2347,8,16,131,26,2,19,1,38,57,Lost
Inferno,29,01,2019,198,2764,10,16,77,16,5,20,3,31,45,Win
Dust II,28,01,2019,57,3006,14,16,82,26,3,21,8,30,71,Win
Mirage,27,01,2019,383,2199,16,9,98,16,2,11,3,47,41,Win
Mirage,26,01,2019,179,1920,16,7,96,21,5,17,2,28,57,Win
Dust II,26,01,2019,80,2659,13,16,65,35,3,21,6,31,80,Lost
Inferno,25,01,2019,32,2348,16,9,101,20,7,17,3,35,50,Win
Inferno,25,01,2019,13,2224,16,8,117,16,8,20,2,37,48,Lost
Nuke,25,01,2019,45,2008,8,16,124,25,6,12,4,16,64,Win
Mirage,24,01,2019,21,1764,4,16,84,28,2,9,8,25,74,Win
Overpass,24,01,2019,101,1952,4,16,116,20,2,8,5,25,52,Win
Overpass,23,01,2019,69,1608,3,16,159,13,0,15,2,30,30,Lost
Inferno,23,01,2019,202,1663,16,1,101,5,0,14,0,42,15,Lost
Overpass,23,01,2019,127,2468,8,16,130,9,4,13,1,50,22,Lost
Inferno,22,01,2019,15,2089,16,5,313,13,3,19,3,61,30,Lost
Cache,22,01,2019,12,1559,16,3,135,8,3,17,2,0,21,Lost
Dust II,22,01,2019,16,1943,7,16,130,27,3,17,2,22,62,Lost
Dust II,21,01,2019,13,2737,15,15,105,36,4,20,8,36,84,Tie
Cobblestone,21,01,2019,25,1677,16,3,102,9,2,17,0,11,25,Lost
Dust II,20,01,2019,67,2866,11,16,112,27,1,17,3,33,67,Win
Mirage,18,01,2019,53,2148,16,6,100,20,4,18,2,50,52,Lost
Mirage,12,01,2019,20,2624,12,16,257,12,2,23,2,41,36,Lost
Cache,12,01,2019,92,2231,16,9,261,8,11,18,1,33,35,Win
Overpass,05,01,2019,147,1098,0,11,129,7,1,10,0,57,15,Lost
Inferno,03,01,2019,161,1721,2,16,144,2,2,16,0,50,6,Lost
Mirage,03,01,2019,14,2170,16,7,95,9,2,22,2,55,26,Lost
Overpass,03,01,2019,283,2091,6,16,197,9,4,17,1,44,28,Win
Inferno,01,01,2019,37,2095,6,16,99,19,2,20,1,36,43,Lost
Dust II,31,12,2018,81,1953,16,6,133,19,2,14,3,52,41,Lost
Mirage,31,12,2018,108,2245,9,16,128,10,6,20,1,40,29,Lost
Mirage,31,12,2018,118,2465,16,8,264,14,1,22,1,57,35,Lost
Inferno,31,12,2018,208,3180,16,14,97,13,3,26,2,38,31,Win
Dust II,29,12,2018,64,1846,16,5,81,18,2,13,2,33,44,Win
Dust II,28,12,2018,102,1958,7,16,88,24,1,16,4,37,56,Win
Dust II,27,12,2018,49,2618,11,16,87,19,5,14,5,15,62,Win
Dust II,27,12,2018,10,2058,8,16,0,2,1,11,0,66,5,Lost
Dust II,26,12,2018,249,2460,16,11,117,17,5,18,3,33,43,Win
Dust II,26,12,2018,196,2868,14,16,92,20,6,22,5,20,61,Win
Cache,25,12,2018,58,1961,16,7,71,17,2,17,3,23,47,Lost
Dust II,25,12,2018,177,867,8,2,121,9,3,7,4,55,21,Win
Inferno,25,12,2018,220,938,10,2,90,12,1,8,4,50,25,Win
Train,25,12,2018,305,2676,16,12,115,32,5,20,4,25,84,Lost
Cache,24,12,2018,192,1863,5,16,121,29,2,11,4,24,66,Win
Inferno,24,12,2018,230,2564,16,12,111,19,4,21,2,21,45,Lost
Nuke,23,12,2018,142,2970,14,16,0,10,1,5,1,27,21,Lost
Mirage,23,12,2018,77,1846,4,16,91,11,4,17,0,18,28,Lost
Dust II,23,12,2018,225,1990,7,16,107,6,3,18,0,42,20,Win
Dust II,23,12,2018,135,1734,16,5,118,19,5,7,2,25,51,Win
Dust II,22,12,2018,222,2247,6,16,118,14,3,20,1,42,32,Lost
Cache,21,12,2018,94,2765,14,16,70,28,5,20,5,28,82,Win
Dust II,21,12,2018,102,2087,16,7,95,9,3,17,1,63,27,Lost
Inferno,21,12,2018,156,1851,3,16,91,11,4,14,2,25,26,Win
Dust II,21,12,2018,75,1840,16,3,95,6,4,17,0,83,20,Lost
Inferno,20,12,2018,159,1657,3,16,119,17,3,9,3,64,43,Win
Overpass,20,12,2018,208,2809,15,15,118,15,4,24,0,26,38,Tie
Cache,18,12,2018,105,2798,13,16,87,13,1,21,2,23,39,Lost
Dust II,18,12,2018,61,1763,16,6,86,11,3,18,0,54,29,Lost
Cache,17,12,2018,162,2650,16,13,98,17,5,20,4,41,43,Win
Inferno,17,12,2018,237,1764,16,3,116,9,4,19,0,55,22,Lost
Dust II,16,12,2018,176,2287,16,9,83,17,8,15,2,29,48,Win
Overpass,16,12,2018,243,1679,16,2,116,10,3,16,0,30,28,Lost
Dust II,16,12,2018,137,2053,7,16,65,19,4,17,4,26,50,Win
Dust II,15,12,2018,114,2552,16,13,92,14,5,21,3,50,37,Win
Mirage,15,12,2018,73,1618,3,16,135,10,2,17,0,50,27,Lost
Mirage,15,12,2018,70,2257,6,16,96,14,3,17,4,50,39,Win
Overpass,14,12,2018,150,1538,2,16,123,7,0,17,1,57,18,Lost
Overpass,14,12,2018,195,2893,16,14,102,13,5,24,1,30,33,Win
Dust II,14,12,2018,79,2461,16,10,94,16,1,19,2,50,46,Lost
Cache,13,12,2018,141,1255,16,1,76,13,1,9,1,23,27,Win
Inferno,13,12,2018,185,1772,16,5,120,11,2,8,0,63,26,Win
Mirage,13,12,2018,108,1835,2,16,82,10,2,16,0,10,22,Lost
Dust II,13,12,2018,95,1974,7,16,91,21,0,17,4,38,49,Lost
Cache,12,12,2018,16,1303,2,16,88,11,0,15,0,45,22,Lost
Train,12,12,2018,84,2174,16,5,104,14,2,19,2,28,39,Lost
Dust II,12,12,2018,212,1650,0,16,102,6,2,8,0,42,22,Win
Overpass,11,12,2018,246,2050,9,14,120,15,5,14,1,20,40,Win
Train,11,12,2018,115,1315,1,16,123,12,0,16,1,50,24,Lost
